gene,A1,A2,A3,A4,I1,I2,I3,I4,L1,L2,L3,L4,S1,S2,S3,S4
Gene26,0.3654825,0.2818645,0,0.7556997,1.350608,0,0.08233363,0.1375615,1.304298,3.871755,1.137424,0.2109343,0.4130711,0,0,0
Gene27,0.6451765,0.6988462,1.523466,1.923364,3.318134,2.710138,3.770298,5.348115,2.83242,0.308625,3.741095,0.9756863,5.360486,4.046736,3.044822,5.26822
Gene28,0,0,0,0.1783798,0,0,0,0,0,0,0,0,0,0,0,0
Gene29,0.6764819,0.8167823,0.567148,1.608979,1.089376,1.934909,2.270699,1.950828,1.304237,0,3.835264,0,0.7050559,1.781979,1.066725,1.45925
Gene30,6.972701,11.46089,9.420518,8.428504,4.727994,5.822719,8.5715,8.459715,5.466396,0,6.360842,0.624023,4.233755,3.197193,3.101607,3.568144
Gene31,0.05897367,0.182269,0.1290141,0.437852,0.5321184,0.9238278,1.751419,1.550941,1.010905,0,0.7448434,0,0.8061007,1.818279,0.5683831,0.6657656
Gene32,3.006347,1.557094,1.360692,0.8727721,0.7055653,0.001803374,0.1803869,0.2716464,11.25612,48.4957,4.202657,42.74119,0.5239835,4.99E-05,6.95E-08,1.341523
Gene33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene34,8.21615,7.733875,10.56753,9.697252,7.787262,6.754594,5.853677,5.354363,0,0,0,0,3.375829,2.695664,4.55606,2.936592
Gene35,0,0,0,0,3.17E-19,0,1.26E-20,5.81E-11,0,0,7.65E-19,0,1.68E-05,2.52E-07,8.39E-14,0
Gene36,0,0,0,0,0,0,0,0,0.08285593,0,7.872807,0,0,0,0,0
Gene37,0,1.05E-28,0,3.82E-31,0,0.000862259,0,2.40E-33,0,2.99E-28,0,0,4.21E-34,0,2.31E-25,7.39E-32
Gene38,0.2360494,0,0,0.9034381,8.81E-29,1.421188,0.4217599,0.1120036,1.235525,0.00566375,2.625554,1.186335,1.469794,0.05033754,0.5691318,0.08412539
Gene39,0,0,0,0,0,0,0,0,0,0,0.07152237,0,0,0,0,0.0663497
Gene40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene41,0.00189476,1.386592,0.4808026,2.193393,0.07664257,7.39E-06,0.510046,0.000186525,0.3130413,1.919856,0.1068828,0.001367893,0.8199946,0.2754463,2.595899,1.850267
Gene42,0,0.3832643,0,0.172658,0.1970095,0,0,0,0,0,0,0,0,0,0,0
Gene43,0,0,0,3.40E-22,0,0,8.05E-29,6.84E-31,0,0,0,0,2.33E-32,1.32E-27,2.42E-26,1.51E-25
Gene44,2.44E-28,8.71E-24,1.65E-30,2.55E-19,1.95E-26,4.76E-22,4.36E-28,1.66E-23,6.63E-25,5.29E-19,9.42E-21,1.82E-16,4.72E-21,1.52E-24,4.45E-20,1.84E-24
Gene45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene47,0,0,0,0.02413985,0,0,0,0,0,0,0,0,0,0,0,0
Gene48,1.515461,1.887325,1.159038,1.341124,0.03461444,2.849427,4.25913,4.98937,0.4684168,0.07836232,1.61777,0.6335845,2.604881,5.162834,2.402149,3.08641
Gene49,0.2850647,5.67E-24,3.78E-21,6.69E-24,0.2357836,0,0.4970722,0.2097825,0,0,0.9311705,0,2.71E-15,6.93E-27,6.47E-26,6.15E-09
Gene50,3.224239,3.579437,0.9602942,2.817268,1.818575,3.487999,2.23133,1.96485,0.04881331,7.57E-18,0.4540362,3.73E-17,2.448538,6.483647,2.799093,1.376948
Gene51,11.91004,11.56128,13.13733,11.25771,30.2199,27.3257,38.01583,37.85817,39.68044,18.77898,33.41967,11.61828,36.50345,37.8815,32.77533,23.94635
Gene52,1.6905,2.881832,1.340629,2.838706,6.355466,4.365428,2.428858,3.389868,2.157567,0.5068136,0.5604603,1.447412,1.400243,5.771255,3.217358,3.193962
Gene53,0.001119603,0.2735192,3.26E-21,6.95E-14,1.87E-19,9.59E-15,1.25E-23,0.03623985,0,1.93E-21,2.26E-15,0,0.4908459,0.0396154,0.000886108,1.89E-07
Gene54,0.2534987,0.07822854,0.1621558,0.1610572,0.1436787,0.1754769,0.06444613,0.1077188,0.08490783,3.81E-15,0.000726254,2.20E-16,0.07169949,0.1531491,0.1560181,0.09246525
Gene55,0.2830013,0.3101831,0.1604216,0.1658752,0.6537536,0.06720741,0.4454381,0.9015857,0,0,0,0,0.4049147,0.4568636,0.4317524,0.4398981
Gene56,2.5238,4.075167,2.542723,2.727086,2.005066,2.163207,3.679415,5.815094,1.730539,0,4.689599,0,2.13916,0.6354425,2.479491,3.430613
Gene57,0.1847978,0.1746168,0.2535215,0.5852302,0.2569923,0.7225414,4.384661,4.411346,0,0,0.2203742,0,4.932002,4.559075,4.213648,3.027687
Gene58,0.3556346,0.2768089,0.4971862,0.005527552,0.4784048,1.148396,1.006961,1.811194,0,0,5.64E-06,0,0.03081886,1.657622,2.893569,3.184327
Gene59,6.305884,4.968578,7.742805,6.094036,11.21417,12.1141,11.20429,11.5549,2.459235,1.067774,3.973749,1.174964,15.97321,14.33998,15.2911,16.65614
Gene60,6.519829,11.17657,7.96395,9.340325,15.61768,6.970523,9.836465,9.138339,57.69665,100.8018,54.00161,64.82653,8.30778,9.304531,7.023127,6.96789
Gene61,3.79409,5.813063,3.892919,5.903322,9.748048,8.981236,10.85065,10.66769,3.384599,1.083983,5.184357,1.736604,6.76825,9.690706,7.579795,11.0094
Gene62,1.220529,1.088705,0.2233396,0.5452417,1.038904,0.04480623,1.087312,1.757155,1.22E-14,0.4855726,0.3122515,4.22E-23,0.3862627,0.4996242,0.3409046,0.3297623
Gene63,0.4414858,2.505502,1.211275,0.6919438,7.78321,2.734875,0.007793918,0.7737829,0,0,0,0,5.560057,7.06242,8.969768,6.522452
Gene64,4.735747,5.667632,8.10976,6.912981,12.66028,3.705511,6.59925,5.665744,0,0,0,0,31.82533,23.7861,41.8195,26.57466
Gene65,1.17E-07,2.71E-09,0.8256698,8.91E-18,0.4288815,6.36E-05,0.000246908,2.97E-07,0,0,0,0,0.6057222,1.99E-08,0.2153909,3.38E-11
Gene66,1.456971,2.226736,1.305861,1.617622,0.8963282,3.550039,0.7459667,2.500939,0,0,0.2334925,0,2.063536,2.17E-11,1.711833,2.707066
Gene67,0.6269303,1.548827,1.30347,0,0.4920493,2.189146,2.675952,7.265862,0,0,0,0,0.9854817,0,4.837644,1.469457
Gene68,2.91E-17,0.8038284,0.8197365,0.8677223,0.8776918,0,0,0,8.258664,1.287302,13.9992,0,0,0,0.03964717,0
Gene69,0,0.04990556,0.2009682,0.05521134,0,0,0,0.03143506,0,0,0,0,0,0,0,0
Gene70,0.1621728,2.76E-14,1.54E-21,1.76E-06,0.2975794,0.1473599,2.63E-12,1.429152,0.206748,6.70E-28,1.30E-05,0,5.80E-20,3.49E-12,0.5662695,2.136904
Gene71,0.2955628,0.1208912,0.05034603,0.1154957,0.2362872,0.593226,0.04062273,1.05E-10,1.17E-34,0,0,0,0.8468547,0.682309,1.882594,0.7416909
Gene72,28.19718,55.24191,45.49662,48.94223,181.2779,80.4885,101.7623,77.86368,6.106914,2.157904,6.628969,0,26.93143,118.7971,21.13789,0
Gene73,0,0,0,0,0.369638,0,1.241201,3.140936,0,0,0,0,0.8686676,0.479881,0,0.7799042
Gene74,0,0,0,0.1179171,0,0,0,0,0,0,0,0,0,0,0,0
Gene75,7.61E-56,1.10E-52,2.39E-37,2.20E-51,3.42E-51,1.22E-42,2.64E-52,6.11E-42,0,1.35E-33,1.42E-49,0,9.13E-44,4.75E-49,4.86E-44,2.49E-51
Gene76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene77,0,0,0,0,0,0,0,0,9.21E-14,0.01840485,0.007601966,0,0,0,0,0
Gene78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene79,0,0,0,7.22E-30,0,8.48E-38,2.07E-33,0,0,0,0,0,0,0,4.88E-32,1.74E-32
Gene80,2.01E-18,0,0.3186554,0.01315761,0.9656506,0,1.07E-09,1.06E-22,0,0,0,0,0,0,0,0
Gene81,6.28E-19,2.97E-17,2.39E-19,0.000492047,2.93E-13,7.73E-26,0.4148206,0.2165678,1.17E-30,9.42E-11,1.76E-16,7.77E-16,0.1610639,1.01E-20,0.9747187,0.1467369
Gene82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene83,1.606503,0.09760817,1.170354,0,0.7536781,0.1721013,1.427433,0.003223308,0.2370979,0,0,0,1.208551,0.580122,0.4193578,0
Gene84,0.1682587,0.09097001,0.2376689,0.3312989,4.31E-20,0.3589695,0.8647606,1.182777,0,0,0,0,0.8551026,0.8455681,1.080921,0.7073061
Gene85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene87,4.22E-25,0,1.54E-24,8.82E-24,8.23E-20,1.24E-23,2.94E-18,3.44E-22,0,0,2.50E-28,0,6.69E-19,1.59E-20,7.14E-23,4.03E-21
Gene88,0.000241376,1.13E-16,6.89E-10,2.77E-19,0.1678922,0.197483,0.003821505,1.57E-21,0.3630615,1.71E-14,2.82E-10,0,1.94E-21,1.66E-11,0.000617994,8.60E-10
Gene89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06934527
Gene93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene95,0.9291006,3.123106,3.15709,1.046747,2.35598,1.308592,1.154621,1.397782,2.201291,1.372224,4.370045,0.8056386,1.732982,1.279047,3.628312,1.559512
Gene96,6.09E-15,7.86E-21,3.43E-16,1.65E-09,1.79E-05,2.11E-22,8.13E-24,1.34E-23,1.77E-27,2.68E-18,3.77E-22,1.28E-20,4.11E-22,3.75E-22,1.86E-20,3.85E-16
Gene97,7.90E-16,2.60E-08,2.68E-19,2.02E-06,3.65E-16,5.77E-09,0.5123189,9.86E-05,2.12E-10,0.03762206,4.77E-06,5.68E-13,9.63E-12,1.62E-11,0.4112553,0.01017934
Gene98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene99,5.32E-17,3.69E-19,7.43E-19,9.79E-10,2.28E-19,2.55E-06,7.12E-21,3.41E-22,9.59E-19,4.34E-16,1.28E-19,3.15E-17,5.24E-19,8.38E-20,9.78E-21,2.71E-20
Gene100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene102,4.01E-17,3.14E-22,1.10E-21,1.87E-17,1.25E-27,0,0.3665799,4.85E-22,0,0,7.42E-05,0,4.13E-25,0.2142131,8.32E-17,1.98E-29
Gene103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene108,8.80E-19,3.46E-18,1.46E-18,3.09E-17,3.70E-13,7.79E-20,3.91E-21,1.38E-20,1.44E-19,8.28E-17,1.00E-20,0,2.48E-18,2.87E-13,2.54E-19,2.10E-19
Gene109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene110,6.31E-22,9.46E-21,5.62E-10,3.92E-09,3.09E-19,1.08E-19,2.71E-25,5.92E-24,0.8527712,1.53E-18,1.10E-22,0,2.96E-20,0.1517655,6.08E-26,7.83E-22
Gene111,0.5218984,0.6150678,0.3921032,1.347457,0.9826599,0.1137848,0.2832461,0.0477827,0.04132769,7.79E-16,0.2271665,5.35E-19,3.34E-18,0.1979896,4.05E-16,0.1273577
Gene112,0,3.74E-69,0,0,0.2782555,0,0,0.09093067,0,0,0,0,0,0,0,0
Gene113,0,0.3295369,0,0,0,0,0,0.4581268,0,0,0,0,0.7136255,0.9939229,0,0
Gene114,1.943729,0.2310921,0.1758726,0.07779125,0.0724939,0.4072391,3.967444,2.998745,9.384576,7.23597,21.04588,12.69312,3.088962,3.290506,1.207019,3.196659
Gene115,0.01322003,6.15E-30,2.10E-19,1.630657,0.7643085,2.15053,5.52E-10,0.5733145,3.11E-29,1.71E-28,4.14E-25,3.47E-24,1.419277,2.472301,0.1898661,1.17587
Gene116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene117,0,0,0,0,5.36E-40,0,0,0,6.92E-31,6.09E-25,4.27E-29,0,0,0,1.69E-37,0
Gene118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene119,0,0.4572045,1.83E-35,0,3.81E-36,0.970949,1.56E-31,5.66E-19,14.88907,5.126369,15.18906,9.310812,1.23E-46,2.24E-34,0,0.2115396
Gene120,6.75E-35,3.82E-21,7.41E-34,2.43E-25,1.76E-29,1.71E-20,1.56E-20,9.41E-22,9.09E-23,3.85E-13,2.96E-10,0,3.46E-20,1.70E-05,4.91E-18,2.25E-20
Gene121,358.283,330.6492,324.2727,331.7209,288.6672,281.8007,211.2552,195.2119,0,0,0,0,205.2868,162.2743,209.8424,186.1952
Gene122,2.652123,2.662473,2.528671,2.80475,1.317334,3.247579,6.489192,7.228244,0,0,0.07666468,0,6.914505,6.420859,8.618327,4.912751
Gene123,0.860824,1.880535,1.349872,1.652845,4.945843,3.081225,6.96966,5.922422,0.2773997,0.2229634,0.3450845,0,4.917072,5.345107,6.641299,3.869837
Gene124,8.334922,8.711894,6.641688,6.56648,7.294842,7.434786,12.36883,14.83377,2.602667,1.281959,2.582359,0.4517954,14.99085,18.82404,11.59213,14.91538
Gene125,2.013552,1.092447,1.808588,2.937399,4.304272,4.077889,2.550389,5.149938,3.450472,0.948241,3.435937,0.3935203,4.01487,1.698769,4.420322,3.113171
Gene126,10.65212,12.29123,13.62396,11.97631,25.30485,16.12116,16.7877,16.89904,4.161778,4.327118,2.884023,0.7586778,14.34439,13.13862,9.793475,11.61268
Gene127,0.5963005,0.3545826,0.08883712,0.6752997,0,0.4485807,3.518892,4.211844,0.6893859,0,0.522368,0,6.473533,5.877225,6.309653,7.028455
Gene128,6.235406,8.536045,7.211964,9.41487,28.8848,12.97734,11.66699,12.51032,6.763733,7.98192,6.152247,0,9.663254,9.612012,10.08896,7.013856
Gene129,2.080312,2.332136,1.622139,2.243345,2.642096,5.565381,5.413461,6.871571,0.1208689,0.3693646,1.672734,0.09506993,7.053445,6.197964,6.048424,5.386566
Gene130,2.832218,1.721114,3.258323,1.701357,4.032803,6.09895,4.863257,5.513807,9.855271,3.591584,7.161303,3.936382,3.398776,3.808979,2.818186,5.511776
Gene131,2.644682,3.922375,3.987686,4.959736,6.124705,3.515437,3.037301,4.978568,6.913865,0.4191066,0.3481325,0,3.258166,1.016844,3.008402,2.911386
Gene132,5.55E-13,0.000107783,0.1968487,0.04167807,0.5591923,9.98E-11,1.383434,1.382056,0.9730769,0,5.40E-11,0,0.009085596,0.0004105,1.009037,0.8099442
Gene133,6.386523,8.313468,6.394252,7.20571,9.289636,5.380875,6.058406,6.287269,21.6708,8.030078,20.89254,3.696323,3.590979,3.450061,2.732497,2.151155
Gene134,4.698161,5.494719,3.624404,4.353655,1.657315,1.290849,3.011561,1.070556,0,0,0,0.4411914,2.820237,1.904426,1.422205,3.655474
Gene135,4.721056,3.758282,3.951778,5.180306,5.035049,7.695239,10.65703,10.52656,24.02595,7.73029,25.96691,3.804714,9.670051,7.625959,11.42166,11.17323
Gene136,0,0.1541071,2.46E-15,2.533461,0.8786352,8.89E-20,1.51E-17,6.20E-17,0,0,0,0,0,4.09E-14,1.564402,1.85E-15
Gene137,9.420814,14.42424,12.04076,11.65535,15.40722,16.47725,22.04135,20.11498,1.73219,1.872813,4.551929,1.394757,15.86339,12.99163,14.51942,17.54632
Gene138,13.97016,12.82573,16.48894,16.51573,19.32949,17.06351,14.64839,15.14032,28.06223,58.37792,19.14432,57.4953,12.10925,12.41222,15.07992,17.45506
Gene139,7.927174,9.317438,6.363808,6.60207,8.491882,8.30337,10.75148,14.21812,28.78265,4.837757,9.528375,1.546477,11.67567,10.98904,10.19788,14.29963
Gene140,9.249538,9.686053,7.411038,7.506711,8.962947,10.24214,13.15451,9.769959,6.971678,5.119962,9.856858,1.656196,13.89467,12.78798,11.40874,17.34439
Gene141,8.503739,4.505044,6.51558,2.78795,3.978159,2.155188,3.297373,0.03638406,110.0397,94.583,75.6016,33.92152,0.09734338,6.968622,18.41292,0.1940104
Gene142,1.84E-16,4.07E-26,1.895727,3.67E-22,0.3518157,4.98E-15,4.51E-20,1.08E-26,1.26E-24,1.22E-26,4.73E-26,4.48E-22,4.66E-20,1.39E-18,9.00E-17,3.73E-18
Gene143,0.09083455,0.1842038,0,0.09505457,0.8937914,0.7407197,0.6479551,1.630944,0.2269318,0,0,0,1.544669,1.91271,0.4320982,0.9278368
Gene144,0.3747424,0.8961564,0.9957426,0.7291381,0.3790445,2.192538,3.510031,3.350494,1.59E-25,0,9.26E-15,0,2.403385,1.855957,2.617167,4.493362
Gene145,2.601485,2.492932,3.775479,3.960201,3.667933,3.946608,6.414906,8.191869,0.224846,0.3703476,1.022836,0,7.237763,5.826188,7.252322,7.82005
Gene146,31.71017,38.8589,32.28577,31.15174,44.75635,43.91158,39.90252,44.21606,6.657797,0.9117329,8.029085,0.614662,43.86648,44.85476,37.18754,52.17777
Gene147,0.7741302,0.2678845,0.8503659,0.8367215,3.646444,4.266142,4.838657,5.228617,0,0.2042857,1.737434,0,3.236425,2.314015,2.304595,1.971951
Gene148,46.14042,57.20651,50.98604,41.05109,59.02723,51.04535,47.68625,43.6365,37.84802,19.07325,29.49476,6.052096,41.07864,45.05229,43.78878,41.74699
Gene149,26.4648,26.46902,28.38762,25.54308,16.35815,17.78926,27.63843,28.13735,12.81607,10.90914,17.0333,9.656044,29.91644,27.90307,29.63761,31.12042
Gene150,72.8917,75.11298,87.78278,84.36066,98.63036,107.3914,128.9924,134.5001,142.1706,64.01854,263.6479,90.92472,206.8579,202.7073,205.191,261.9783
Gene151,8.295658,3.750253,7.928884,6.753021,5.787235,7.561096,8.801956,6.968375,15.88727,8.562051,28.97026,20.28657,5.382828,7.805537,4.612906,8.899088
Gene152,4.43E-21,4.55E-21,4.75E-19,8.48E-20,9.07E-20,2.25E-22,6.21E-23,1.71E-22,2.92E-24,1.96E-17,0,7.98E-18,2.47E-20,1.25E-20,1.43E-21,4.26E-20
Gene153,9.948421,10.22766,10.97109,8.943303,9.159366,16.64973,26.64894,25.63943,7.072814,2.492928,14.79265,4.037938,24.74918,26.68458,26.1566,27.31122
Gene154,0,0,0.06337513,0,0.615795,0.1588956,0.7693494,1.050527,7.244793,4.885535,9.4181,4.870697,0.9862083,0.740302,0.9055134,1.007655
Gene155,0,0,0.06337513,0,0.615795,0.1588956,0.7693494,1.050527,7.244793,4.885535,9.4181,4.870697,0.9862083,0.740302,0.9055134,1.007655
Gene156,0.9833557,3.21098,3.413986,2.87963,4.774501,5.544547,3.707758,4.63042,0.729178,0,1.590126,0,7.155282,6.149798,2.29789,5.318729
Gene157,108.5334,140.3549,133.1717,171.8904,308.9197,147.4633,177.4055,176.4282,143.4289,85.45041,128.9085,75.98096,164.9635,152.6743,146.6328,166.0164
Gene158,59.10587,62.95231,49.85275,57.16682,98.91552,55.5482,42.43964,41.08629,131.5347,249.704,51.70654,57.8433,36.38751,40.39129,36.26813,38.69834
Gene159,0.5514845,2.068976,0.858769,1.385107,1.23E-09,0.9293119,2.953016,5.585279,0,0,3.49E-12,0,4.388513,1.386125,2.241873,3.140445
Gene160,1.951135,0.00441991,2.101959,0.9022438,2.392808,3.423462,2.670865,0.6858517,0,0,3.22E-12,0,3.33455,5.32385,4.759806,1.354538
Gene161,12.88246,14.36977,17.86118,17.72818,39.09209,24.29946,10.86989,11.9854,14.95112,11.12292,14.64573,2.762835,24.03793,20.27209,44.18993,22.19589
Gene162,33.11986,38.91836,42.64502,38.10577,52.68703,47.20994,46.01608,46.81478,55.53054,32.4944,56.2603,6.514852,47.67945,43.46257,51.32919,48.28284
Gene163,216.8621,180.7203,191.1127,171.7239,68.70835,131.0448,126.7438,127.4967,107.684,85.8365,147.1069,187.8063,85.68736,86.74658,92.31971,100.6107
Gene164,5.144862,7.107332,7.162875,7.92876,8.557321,6.069881,7.847036,8.031023,1.385761,2.351618,8.472217,1.197981,9.356579,10.68009,9.977042,12.51891
Gene165,0.7780718,0.994366,1.09281,1.112625,2.482452,1.748267,3.076273,3.736742,12.21682,1.441502,15.12517,1.209539,3.170095,4.240364,2.67161,5.585665
Gene166,8.488403,12.95753,11.75735,10.95907,17.13987,15.71341,15.15912,15.81176,15.08014,8.8771,12.09353,0.8837711,19.70119,17.12529,16.92461,17.44558
Gene167,13.14582,6.137978,16.07306,11.58659,13.82922,12.25112,13.28327,10.86786,113.6631,37.34996,123.1292,54.58932,13.6344,12.88992,5.88057,13.10551
Gene168,0.499284,0.5072635,0.6876877,1.645812,1.663484,1.147323,3.890229,4.167203,7.790536,0.5113575,9.583366,0,16.46837,15.17648,17.18556,12.24023
Gene169,2.856843,1.456724,1.572209,1.419833,1.135967,2.061878,2.539618,3.691494,53.51841,28.2646,53.46136,45.4195,2.912591,3.888191,3.701949,3.754045
Gene170,9.62787,8.313464,9.991432,10.24276,20.19611,12.74424,7.045486,9.973439,18.0719,36.0525,11.80161,19.49651,8.982393,9.184122,5.979852,5.810334
Gene171,3.465713,5.133855,3.317102,7.622934,5.233514,7.020727,7.984288,7.732631,0.4667429,0,0.2859998,0,8.244153,8.593516,9.539663,13.40436
Gene172,10.21484,7.79321,11.10406,10.2529,10.79777,12.07883,18.21421,17.77264,16.27016,3.479567,14.43817,3.360969,17.47285,19.23121,16.98236,16.36892
Gene173,0,0,0,0,0,0,0,0,1.164824,0,6.813592,0.8007339,0,0,0,0
Gene174,0.5243477,1.103309,1.25821,1.156222,0.6441677,1.77357,2.965005,3.479815,0,0.05086994,0.03609252,0,3.641706,3.175498,3.090315,4.654382
Gene175,3.278975,4.500079,4.722929,5.806389,6.428312,6.952373,12.21017,11.94282,9.44755,3.296148,15.78797,1.913223,12.87299,13.7013,13.07262,13.93406
Gene176,9.34545,8.782399,11.55217,10.33061,9.89631,16.04567,19.91952,22.34215,24.73233,6.551401,35.59543,4.042334,24.02758,25.14483,22.54127,20.56116
Gene177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene178,15.8761,13.86164,9.417426,11.11343,15.82815,15.21686,13.15922,15.175,19.47955,14.61539,13.03025,0,16.74223,13.81247,13.34442,7.466974
Gene179,0,0.7871686,1.146075,1.483641,0.9696594,0.2741048,1.565594,1.417312,0.8883117,0,1.92557,0,0.9977881,0,0,0
Gene180,0.274487,0.2520798,2.059044,0.486966,1.116667,7.72E-05,0.1151436,0.5844895,0,0,0,0,0.1435096,0,0,0
Gene181,111.0181,103.9127,90.59652,72.53139,70.7164,103.6009,86.63512,92.90283,92.60695,247.3712,84.9028,413.5366,115.1374,105.3613,106.4721,134.2062
Gene182,14.1216,10.10852,8.240038,11.78338,7.64256,8.888328,9.807005,9.900902,0,0,0,0,5.787509,3.202407,8.511464,6.667569
Gene183,1.755159,4.106122,2.91329,2.887311,1.506027,5.261768,6.51651,10.48476,0,0,0.132895,0,5.267586,6.71307,4.40391,6.470167
