gene,A1,A2,A3,A4,I1,I2,I3,I4,L1,L2,L3,L4,S1,S2,S3,S4
Gene54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Gene56,3,4,3,3,2,2,4,6,2,0,5,0,2,1,2,3
Gene57,0,0,0,1,0,1,4,4,0,0,0,0,5,5,4,3
Gene58,0,0,0,0,0,1,1,2,0,0,0,0,0,2,3,3
Gene59,6,5,8,6,11,12,11,12,2,1,4,1,16,14,15,17
Gene60,7,11,8,9,16,7,10,9,58,101,54,65,8,9,7,7
Gene61,4,6,4,6,10,9,11,11,3,1,5,2,7,10,8,11
Gene62,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
Gene63,0,3,1,1,8,3,0,1,0,0,0,0,6,7,9,7
Gene64,5,6,8,7,13,4,7,6,0,0,0,0,32,24,42,27
Gene65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gene66,1,2,1,2,1,4,1,3,0,0,0,0,2,0,2,3
Gene67,1,2,1,0,0,2,3,7,0,0,0,0,1,0,5,1
Gene68,0,1,1,1,1,0,0,0,8,1,14,0,0,0,0,0
Gene69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
Gene71,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1
Gene72,28,55,45,49,181,80,102,78,6,2,7,0,27,119,21,0
Gene73,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1
Gene74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gene82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene83,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
Gene84,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
Gene85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene95,1,3,3,1,2,1,1,1,2,1,4,1,2,1,4,2
Gene96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gene98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gene111,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Gene112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene113,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Gene114,2,0,0,0,0,0,4,3,9,7,21,13,3,3,1,3
Gene115,0,0,0,2,1,2,0,1,0,0,0,0,1,2,0,1
Gene116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene119,0,0,0,0,0,1,0,0,15,5,15,9,0,0,0,0
Gene120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene121,358,331,324,332,289,282,211,195,0,0,0,0,205,162,210,186
Gene122,3,3,3,3,1,3,6,7,0,0,0,0,7,6,9,5
Gene123,1,2,1,2,5,3,7,6,0,0,0,0,5,5,7,4
Gene124,8,9,7,7,7,7,12,15,3,1,3,0,15,19,12,15
Gene125,2,1,2,3,4,4,3,5,3,1,3,0,4,2,4,3
Gene126,11,12,14,12,25,16,17,17,4,4,3,1,14,13,10,12
Gene127,1,0,0,1,0,0,4,4,1,0,1,0,6,6,6,7
Gene128,6,9,7,9,29,13,12,13,7,8,6,0,10,10,10,7
Gene129,2,2,2,2,3,6,5,7,0,0,2,0,7,6,6,5
Gene130,3,2,3,2,4,6,5,6,10,4,7,4,3,4,3,6
Gene131,3,4,4,5,6,4,3,5,7,0,0,0,3,1,3,3
Gene132,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
Gene133,6,8,6,7,9,5,6,6,22,8,21,4,4,3,3,2
Gene134,5,5,4,4,2,1,3,1,0,0,0,0,3,2,1,4
Gene135,5,4,4,5,5,8,11,11,24,8,26,4,10,8,11,11
Gene136,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0
Gene137,9,14,12,12,15,16,22,20,2,2,5,1,16,13,15,18
Gene138,14,13,16,17,19,17,15,15,28,58,19,57,12,12,15,17
Gene139,8,9,6,7,8,8,11,14,29,5,10,2,12,11,10,14
Gene140,9,10,7,8,9,10,13,10,7,5,10,2,14,13,11,17
Gene141,9,5,7,3,4,2,3,0,110,95,76,34,0,7,18,0
Gene142,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene143,0,0,0,0,1,1,1,2,0,0,0,0,2,2,0,1
Gene144,0,1,1,1,0,2,4,3,0,0,0,0,2,2,3,4
Gene145,3,2,4,4,4,4,6,8,0,0,1,0,7,6,7,8
Gene146,32,39,32,31,45,44,40,44,7,1,8,1,44,45,37,52
Gene147,1,0,1,1,4,4,5,5,0,0,2,0,3,2,2,2
Gene148,46,57,51,41,59,51,48,44,38,19,29,6,41,45,44,42
Gene149,26,26,28,26,16,18,28,28,13,11,17,10,30,28,30,31
Gene150,73,75,88,84,99,107,129,135,142,64,264,91,207,203,205,262
Gene151,8,4,8,7,6,8,9,7,16,9,29,20,5,8,5,9
Gene152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene153,10,10,11,9,9,17,27,26,7,2,15,4,25,27,26,27
Gene154,0,0,0,0,1,0,1,1,7,5,9,5,1,1,1,1
Gene155,0,0,0,0,1,0,1,1,7,5,9,5,1,1,1,1
Gene156,1,3,3,3,5,6,4,5,1,0,2,0,7,6,2,5
Gene157,109,140,133,172,309,147,177,176,143,85,129,76,165,153,147,166
Gene158,59,63,50,57,99,56,42,41,132,250,52,58,36,40,36,39
Gene159,1,2,1,1,0,1,3,6,0,0,0,0,4,1,2,3
Gene160,2,0,2,1,2,3,3,1,0,0,0,0,3,5,5,1
Gene161,13,14,18,18,39,24,11,12,15,11,15,3,24,20,44,22
Gene162,33,39,43,38,53,47,46,47,56,32,56,7,48,43,51,48
Gene163,217,181,191,172,69,131,127,127,108,86,147,188,86,87,92,101
Gene164,5,7,7,8,9,6,8,8,1,2,8,1,9,11,10,13
Gene165,1,1,1,1,2,2,3,4,12,1,15,1,3,4,3,6
Gene166,8,13,12,11,17,16,15,16,15,9,12,1,20,17,17,17
Gene167,13,6,16,12,14,12,13,11,114,37,123,55,14,13,6,13
Gene168,0,1,1,2,2,1,4,4,8,1,10,0,16,15,17,12
Gene169,3,1,2,1,1,2,3,4,54,28,53,45,3,4,4,4
Gene170,10,8,10,10,20,13,7,10,18,36,12,19,9,9,6,6
Gene171,3,5,3,8,5,7,8,8,0,0,0,0,8,9,10,13
Gene172,10,8,11,10,11,12,18,18,16,3,14,3,17,19,17,16
Gene173,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0
Gene174,1,1,1,1,1,2,3,3,0,0,0,0,4,3,3,5
Gene175,3,5,5,6,6,7,12,12,9,3,16,2,13,14,13,14
Gene176,9,9,12,10,10,16,20,22,25,7,36,4,24,25,23,21
Gene177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene178,16,14,9,11,16,15,13,15,19,15,13,0,17,14,13,7
Gene179,0,1,1,1,1,0,2,1,1,0,2,0,1,0,0,0
Gene180,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Gene181,111,104,91,73,71,104,87,93,93,247,85,414,115,105,106,134
Gene182,14,10,8,12,8,9,10,10,0,0,0,0,6,3,9,7
Gene183,2,4,3,3,2,5,7,10,0,0,0,0,5,7,4,6
Gene184,34,31,32,30,46,43,45,44,34,28,401,62,42,52,49,48
Gene185,0,0,0,0,0,1,2,2,0,0,1,0,1,2,1,2
Gene186,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Gene187,23,22,22,25,44,41,63,63,55,15,45,10,64,72,62,46
Gene188,17,17,15,20,22,20,20,22,28,17,44,16,20,19,21,21
Gene189,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,2
Gene190,75,89,79,75,138,90,70,66,235,232,144,172,76,77,78,68
Gene191,0,1,1,1,1,1,1,2,17,15,23,17,1,2,1,1
Gene192,4,6,4,5,11,6,13,14,19,5,25,1,19,17,18,20
Gene193,0,0,0,0,0,0,2,3,0,0,1,0,2,2,2,1
Gene194,9,7,8,7,6,7,5,6,4,1,2,2,4,8,4,7
Gene195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene196,1,3,2,1,2,2,2,2,0,0,0,0,2,2,2,2
Gene197,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Gene198,5,3,2,5,5,4,7,8,6,2,6,2,12,12,13,11
Gene199,25,31,30,34,56,48,47,46,46,42,73,42,56,58,59,67
Gene200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene201,2,3,0,2,3,4,5,2,15,3,27,4,2,6,5,5
Gene202,6,7,5,6,7,8,6,9,6,0,4,0,9,7,4,5
Gene203,24,20,20,23,23,16,16,21,21,5,18,10,19,17,22,18
Gene204,6,6,5,8,11,8,8,8,2,3,4,0,8,11,8,8
Gene205,2,2,1,1,1,1,2,2,0,0,0,0,0,2,0,0
Gene206,2,2,2,4,3,1,0,1,1,1,0,0,2,2,1,3
Gene207,1,3,0,1,1,1,2,1,0,0,0,0,1,0,1,2
Gene208,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
Gene209,39,45,38,36,50,50,45,42,47,28,32,10,39,44,36,41
Gene210,3,4,3,5,7,4,4,4,5,3,2,1,2,4,2,4
Gene211,68,63,62,69,36,45,39,35,61,13,40,18,25,27,25,19
Gene212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene214,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gene215,1,1,1,1,1,1,5,6,0,0,1,0,5,6,4,5
Gene216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene217,5,4,4,4,10,10,9,8,9,3,9,2,7,10,10,5
Gene218,1,1,0,1,0,1,2,3,0,0,0,0,2,4,4,0
Gene219,1,1,0,1,2,2,3,2,1,0,1,0,2,2,1,2
Gene220,2,4,3,4,5,3,3,3,16,20,19,15,3,2,2,4
Gene221,1,1,1,1,2,2,4,4,3,0,1,0,2,2,3,3
Gene222,10,13,12,12,36,22,4,6,21,34,29,30,17,13,17,10
Gene223,4,3,3,4,5,4,2,2,1,3,0,1,4,3,2,2
Gene224,0,0,0,0,0,0,0,0,12,3,9,3,0,0,0,0
Gene225,0,1,0,1,2,4,8,8,0,0,1,0,6,9,7,2
Gene226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene227,1,1,0,4,2,1,0,1,0,0,0,0,1,0,1,2
Gene228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene230,9,10,9,12,11,12,10,9,16,4,13,0,7,9,8,11
Gene231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene234,1,2,2,0,2,3,2,5,0,0,0,0,7,6,4,5
Gene235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene236,4,1,5,7,1,2,4,4,0,0,0,0,8,7,10,8
Gene237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene239,4,7,5,4,9,7,7,8,1,3,0,2,3,4,3,3
Gene240,0,0,0,0,0,1,1,2,1,0,2,0,1,2,1,2
Gene241,0,0,1,0,1,3,3,3,12,17,12,7,2,0,2,5
Gene242,7,16,17,12,11,21,20,16,22,17,20,6,12,19,27,21
Gene243,23,23,22,18,28,33,43,35,27,7,29,15,44,40,40,33
Gene244,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Gene245,1,1,2,1,1,2,5,7,3,1,7,0,7,8,9,8
Gene246,2,2,1,2,4,6,5,5,2,0,0,0,6,5,4,5
Gene247,47,59,51,45,45,34,29,28,0,2,2,1,28,29,32,47
Gene248,0,0,0,0,2,1,1,2,11,3,12,5,2,1,1,1
Gene249,21,30,13,25,41,33,18,16,38,11,36,14,32,34,35,30
Gene250,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Gene251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gene252,0,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0
Gene253,16,18,17,17,21,25,24,22,28,13,28,7,28,29,27,24
Gene254,2,3,2,2,4,6,8,6,4,1,4,0,9,7,8,6
Gene255,1,1,1,0,0,0,1,1,1,0,1,0,1,2,0,1
Gene256,1496,1447,1443,1385,2035,456,868,1051,959,3470,591,4247,251,362,230,335
Gene257,1,1,1,2,3,3,7,8,1,1,5,0,7,6,8,10
Gene258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gene259,1,1,1,1,1,1,2,2,0,0,0,0,1,1,2,1
Gene260,2,3,2,3,3,3,6,8,1,0,2,0,6,8,6,7
Gene261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene262,19,18,24,12,31,21,22,43,19,5,34,4,57,52,60,51
Gene263,5,6,0,13,14,11,20,3,48,11,29,6,3,12,11,8
Gene264,2,1,1,1,0,1,1,2,0,0,0,0,3,0,1,2
Gene265,3,1,2,1,0,0,2,2,9,1,6,1,1,1,4,2
Gene266,15,22,21,17,13,26,37,37,26,3,23,1,45,44,44,41
Gene267,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Gene268,0,0,1,1,2,0,0,2,0,0,0,0,2,1,0,1
Gene269,0,0,1,2,0,0,0,2,0,0,0,0,1,2,1,0
Gene270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene271,8,9,7,10,16,16,15,16,80,47,75,39,15,14,12,14
Gene272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene275,4,1,4,3,1,3,3,4,0,0,0,0,3,4,3,4
Gene276,2,2,2,3,1,1,3,3,0,0,0,0,2,5,4,4
Gene277,0,0,0,0,0,0,1,1,0,0,2,0,4,3,4,5
Gene278,0,0,0,0,0,0,0,0,2,0,4,0,2,2,1,1
Gene279,0,0,0,0,0,3,5,5,11,1,11,1,10,8,7,7
Gene280,1,1,2,1,4,2,1,2,8,4,9,4,0,2,3,1
Gene281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene282,17,20,22,19,17,14,12,11,2,3,3,3,18,12,15,16
Gene283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene284,0,0,0,0,1,0,0,0,28,16,30,20,0,0,0,0
Gene285,3,3,3,1,3,4,2,3,1,0,1,0,2,6,3,1
Gene286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gene288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene290,1,4,2,7,9,2,2,3,0,0,0,1,2,3,1,2
Gene291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Gene292,0,0,0,0,0,0,3,1,1,0,3,0,1,4,1,1
Gene293,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Gene294,0,2,0,2,3,0,0,1,0,1,1,0,1,0,1,1
Gene295,0,1,0,0,0,0,4,1,0,0,1,0,0,3,1,0
Gene296,0,0,1,0,1,4,0,1,2,0,1,0,1,1,1,2
Gene297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gene298,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Gene299,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Gene300,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Gene301,1,0,0,0,0,1,2,3,0,0,0,0,1,2,3,2
Gene302,0,1,0,1,1,0,0,2,0,1,0,0,2,1,1,0
Gene303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene304,27,29,30,29,75,67,66,65,67,35,51,16,65,63,55,55
Gene305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene306,21,27,26,28,22,26,33,35,6,4,15,3,36,35,34,41
Gene307,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gene308,9,13,14,18,29,19,15,15,0,1,0,0,11,15,6,5
Gene309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene310,2,0,0,0,0,3,0,0,3,0,0,0,3,2,4,5
Gene311,0,1,0,0,1,2,0,2,1,0,3,0,1,1,2,3
Gene312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene313,18,19,20,25,38,37,34,32,46,26,44,14,31,29,28,25
Gene314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene315,7,5,5,6,6,5,9,10,2,1,2,0,9,8,8,10
Gene316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gene318,4,4,2,4,4,6,6,8,1,0,3,2,5,7,4,6
Gene319,2,2,2,3,1,1,1,2,5,0,3,0,2,2,1,3
Gene320,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1
Gene321,16,8,7,9,5,12,17,14,0,0,0,0,7,8,6,8
Gene322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene323,10,7,11,11,10,14,18,14,14,1,19,3,7,10,5,21
Gene324,2,2,2,2,2,2,4,6,8,0,10,0,3,4,4,4
Gene325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gene327,0,0,0,0,0,0,0,0,30,18,40,11,0,0,0,0
Gene328,2,2,2,4,3,2,3,4,2,3,3,1,4,2,3,3
Gene329,0,1,0,0,0,0,0,2,0,0,0,0,1,1,2,0
Gene330,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0
Gene331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene332,6,6,10,7,1,8,11,13,1,0,5,0,11,11,14,13
Gene333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene334,93,102,107,120,177,150,163,135,3,0,5,0,126,170,112,46
Gene335,39,49,39,40,26,19,18,15,10,3,12,2,15,10,12,11
Gene336,2,4,4,5,6,2,1,0,0,1,6,0,0,0,0,1
Gene337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene338,3,2,3,2,1,4,5,4,2,0,4,0,3,6,5,5
Gene339,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Gene340,12,12,15,9,16,19,12,14,8,2,9,1,15,14,13,13
Gene341,2,3,2,2,2,3,2,2,1,2,1,3,1,1,2,1
Gene342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene344,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0
Gene345,355,283,396,366,308,619,1142,1229,1205,259,1554,267,1366,1403,1423,1457
Gene346,0,0,0,0,0,0,2,1,1,0,4,0,1,3,3,1
Gene347,0,0,2,2,3,1,0,0,0,0,0,1,1,1,1,0
Gene348,6,7,10,5,3,6,3,8,4,5,2,0,7,6,5,4
Gene349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene350,8,8,14,8,11,10,17,16,0,0,1,0,19,19,18,22
Gene351,1,1,3,6,0,1,2,5,0,0,2,0,3,4,2,3
Gene352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene354,1741,1705,1704,1546,1100,2097,2558,2684,2089,977,2785,2229,2639,2632,2578,2721
Gene355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gene356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene357,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gene358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene361,3,3,2,2,3,4,6,6,0,0,1,0,8,7,6,8
Gene362,3,2,3,3,6,4,9,9,1,0,1,0,10,10,8,8
Gene363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene364,12,13,15,12,12,13,15,14,148,211,134,238,10,12,12,11
Gene365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene367,48,38,36,31,25,26,18,13,0,0,0,0,14,9,15,13
Gene368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene369,1,1,1,1,0,2,2,4,2,1,3,3,3,3,3,2
Gene370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene371,2,14,0,9,9,10,1,2,0,0,3,0,2,0,0,0
Gene372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene373,17,18,15,15,7,16,12,12,8,4,5,2,13,12,14,11
Gene374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
